taxa,statistic,value,lower,upper
Mmc,sites,11.768784,11.768784,11.768784
Mmc,pi,0.4354438603718196,0.4299266761482107,0.4414729415383106
Mmc,tajima,-0.6835312362557638,-0.6991943550893237,-0.6653367454726101
Mmc,xsi,0.7764542861639503,0.77410804891565,0.7788669719929529
Mmc,div,1.602263913400059,1.5894104611429392,1.617208237364978
Mmd_fra,sites,12.035079,12.035079,12.035079
Mmd_fra,pi,0.14761078842939046,0.14390997215287915,0.1514520220120596
Mmd_fra,tajima,0.3878325202954016,0.3435434886592766,0.4350489308411007
Mmd_fra,xsi,0.7798486578780419,0.7758804879897419,0.7834600448273916
Mmd_fra,div,1.8932572892126427,1.877024725371072,1.909811542333994
Mmd_ger,sites,12.042824,12.042824,12.042824
Mmd_ger,pi,0.14699562992866125,0.14293258429460712,0.151707400102854
Mmd_ger,tajima,0.4536122516732203,0.4039388324992269,0.5081621819554354
Mmd_ger,xsi,0.7772982401252685,0.772933215412632,0.781369263814918
Mmd_ger,div,1.8964903616211615,1.881280292582423,1.9168540285849627
Mmd_ira,sites,12.016445,12.016445,12.016445
Mmd_ira,pi,0.218418037392368,0.21400149838116742,0.22314283767038
Mmd_ira,tajima,-0.3212899836116808,-0.3536238401281252,-0.28489930217643983
Mmd_ira,xsi,0.7907747028259505,0.7869579114836164,0.7939225106636536
Mmd_ira,div,1.821037806148158,1.8077176826835801,1.8379662310539229
Mmm_afg,sites,11.154736,11.154736,11.154736
Mmm_afg,pi,0.14155707658001213,0.13792602203739845,0.14465136151219118
Mmm_afg,tajima,-0.3752576021681638,-0.4118334502161997,-0.33503668770934275
Mmm_afg,xsi,0.8065679012079253,0.8028976176402064,0.809911175625791
Mmm_afg,div,1.8868845589980792,1.8730470558342969,1.9037128382322077
Mmm_cze,sites,11.670569,11.670569,11.670569
Mmm_cze,pi,0.15111166959097422,0.14656363794707036,0.15571391465263243
Mmm_cze,tajima,0.41118580973609725,0.35688375032904956,0.4606271167510392
Mmm_cze,xsi,0.7966775150743699,0.7929786840554073,0.8012029028046964
Mmm_cze,div,1.908056404147904,1.8932232878694863,1.92703677806252
Mmm_kaz,sites,11.902797,11.902797,11.902797
Mmm_kaz,pi,0.1508977959830226,0.14621068811376087,0.1547635328680683
Mmm_kaz,tajima,0.3187379870005297,0.26256394074139394,0.3564741363905684
Mmm_kaz,xsi,0.7836849384471326,0.7803256082753106,0.7886126319276883
Mmm_kaz,div,1.92771493111241,1.913466749783238,1.9460608388440066
Ms,sites,10.561112,10.561112,10.561112
Ms,pi,0.24155213642906795,0.23668900595657194,0.24667148485322687
Ms,tajima,0.45365342837505285,0.4153122158844658,0.4943221420437512
Ms,xsi,0.7796099662496688,0.776215985136093,0.783001476816396
Ms,div,1.9037578382560472,1.8887517950883872,1.920153152719573
