vanilla,55455455.051397,413494.203414,162589.217417,85552.844136,52941.169766,37085.232167,29037.952106,23750.852930,19949.572632,17379.849753,15791.000000,13939.150247,13702.427368,12529.147070,11930.047894,11881.767833,12062.830234,12436.155864,13157.782583,14658.796586,716060.948603
1,55458561.051377,413582.920510,163009.991820,85309.268163,53233.381171,37051.788440,28792.699079,23654.621040,20001.777955,17318.638057,15842.000000,13813.361943,13687.222045,12400.378960,11879.300921,11973.211560,12195.618829,12237.731837,13140.008180,14739.079490,715823.948623
2,55538017.022704,412220.602356,162777.864479,85562.576143,52879.218877,37084.112847,29144.886882,23887.140628,20150.157614,17423.558639,15566.000000,14093.441361,13646.842386,12781.859372,11948.113118,11960.887153,12010.781123,12473.423857,13215.135521,14738.397644,715587.977296
3,55400017.993794,412325.211386,161832.411222,85354.415262,52994.656020,36716.245804,28849.027692,23557.522317,19947.841678,17419.627903,15885.000000,14178.372097,13619.158322,12366.477683,11885.972308,11866.754196,12145.343980,12440.584738,13135.588778,14784.788614,717340.006206
4,55461181.051464,413273.046350,161660.699009,85499.085653,52579.562330,37122.188272,28882.283014,23590.374408,20055.017229,17424.797277,15857.000000,13884.202723,13588.982771,12457.625592,11887.716986,11738.811728,11890.437670,12287.914347,13096.300991,14516.953650,715255.948536
5,55543984.980244,413638.126141,162726.244920,85230.136661,53099.892351,37151.452618,28927.182569,23895.927374,19773.287886,17402.364120,15997.000000,13956.635880,13934.712114,12431.072626,11823.817431,11712.547382,12075.107649,12505.863339,13098.755080,14743.873859,716183.019756
6,55462758.970249,413779.472687,163386.724596,85914.190799,52972.476771,37106.125868,28845.704334,23767.523816,19972.296718,17472.875075,15938.000000,14114.124925,13711.703282,12440.476184,12033.295666,11850.874132,12022.523229,12553.809201,13387.275404,14759.527313,715670.029751
7,55432473.026669,414112.498790,162642.337936,85698.687073,52622.910397,37017.602612,29293.245185,23533.518148,20065.911227,17294.688532,15760.000000,13937.311468,13788.088773,12344.481852,11926.754815,11805.397388,11941.089603,12449.312927,13179.662064,14821.501210,716320.973331
8,55494854.975653,413778.402822,163284.166896,85372.528424,53069.201156,36641.676030,29246.797405,23997.900662,20004.048004,17475.424616,15918.000000,13830.575384,13855.951996,12304.099338,12150.202595,11965.323970,11951.798844,12449.471576,13041.833104,14752.597178,716927.024347
9,55464399.088888,413558.535024,162378.220283,85376.163521,53052.008503,37187.984823,28965.359076,23994.160908,19737.469501,17335.873866,15586.000000,13999.126134,13830.530499,12375.839092,11839.640924,11932.015177,12026.991497,12392.836479,13318.779717,14487.464976,716837.911112
