AIC,NeSa_1,NeSa_1_sd,NeSa_2,NeSa_2_sd,model,pa_1,pa_1_sd,pa_2,pa_2_sd
-745.8267758241766,1516.130100675866,277.87728045206364,-99.0,-99.0,s,6.489069044190998e-05,1.4375912574185482e-05,-99.0,-99.0
-761.884449212439,207.56803604556185,104.88254708184834,6173.449077468977,2644.473970746888,2,0.0003496897572314306,0.0001773688729161975,7.67217940134124e-06,4.849193975557999e-06
-752.7068150421413,1392.4706305650855,172.50307045376547,-99.0,-99.0,e,0.00014100220541374275,1.8249604865424363e-05,-99.0,-99.0
