distance,pi,fitted,BGS
1.0706276069052238,0.7296205707986185,0.7543551669445588,1.0
1.245041867123013,0.7329664138245147,0.7548365952895201,1.0
1.434147486649386,0.7613027187322944,0.7553565994981959,1.0
1.639181956260983,0.7486015830999966,0.7559180876888657,1.0
1.8614870037481939,0.7586555761045983,0.7565241546248237,1.0
2.1025173740654792,0.7386140938226773,0.7571780876458142,1.0
2.363850349056204,0.7092263764657972,0.7578833715066042,1.0
2.6471960690482597,0.7659994663115025,0.7586436917868616,1.0
2.9544087238640797,0.7247969238124257,0.7594629364755764,1.0
3.2874986864780538,0.7404309610771843,0.7603451952643617,1.0
3.64864566872296,0.7638550884157459,0.7612947560066918,1.0
4.040212985135184,0.7743424774091053,0.7623160977143634,1.0
4.4647630182801255,0.8088907582936375,0.7634138793684053,1.0
4.925073986761522,0.7725431345124097,0.7645929237200428,1.0
5.42415812564308,0.7562227395870639,0.7658581951495707,1.0
5.965281398253548,0.7825581587111345,0.7672147705395393,1.0
6.551984868367537,0.7990596016144833,0.7686678020071924,1.0
7.188107872619819,0.774551189537154,0.7702224702350128,1.0
7.877813144791343,0.7623360546776109,0.7718839270451254,1.0
8.625614056378152,0.7776465484584749,0.7736572257934033,1.0
9.436404151703096,0.8000634101717062,0.7755472381260876,1.0
10.315489170845543,0.7996300982124859,0.7775585556631459,1.0
11.268621769944403,0.7802148333166421,0.7796953752706971,1.0
12.30203916608108,0.7870032229305598,0.7819613667870412,1.0
13.422503953087215,0.8006913141835781,0.7843595224059934,1.0
14.637348355372335,0.7935583586289624,0.7868919874354845,1.0
15.954522209364598,0.8127697746890553,0.789559872881259,1.0
17.38264498655104,0.7834359677367363,0.7923630512998057,1.0
18.931062198551587,0.8071877771938528,0.7952999386649421,1.0
20.60990655333673,0.807092511621275,0.7983672666350919,1.0
22.430164262789887,0.7893370676885074,0.8015598516140869,1.0
24.403746935525323,0.805322366231813,0.8048703693607255,1.0
26.54356952542202,0.8123017650024763,0.8082891465725436,1.0
28.86363484596211,0.8135988650778476,0.8118039837382923,1.0
31.379125203427954,0.8156644938967496,0.8154000264328273,1.0
34.10650174859808,0.8181785927247793,0.81905970483116,1.0
37.06361219709048,0.8135407118715784,0.8227627631489501,1.0
40.269807623266026,0.8228815167511768,0.8264864014687519,1.0
43.746069091981134,0.8192567342155292,0.8302055513905423,1.0
47.515144956856915,0.8401879175335321,0.833893303520058,1.0
51.60169972353269,0.8377833580766004,0.8375214983997766,1.0
56.03247545205226,0.8409210839317797,0.8410614826965619,1.0
60.83646675458599,0.8411290692663963,0.8444850192318994,1.0
66.04511053365866,0.8395054786645195,0.8477653232383117,1.0
71.6924917025137,0.8399738022888592,0.850878179179792,1.0
77.81556623382995,0.8392898357284627,0.8538030744567139,1.0
84.45440299640231,0.8510447447415401,0.8565242708773935,1.0
91.65244596234469,0.853518058065064,0.8590317249045647,1.0
99.45679850067671,0.8473530541475416,0.8613217663517074,1.0
107.91853161768564,0.8473389285905683,0.8633974547722427,1.0
117.09301816116393,0.8613489720081672,0.8652685543288374,1.0
127.04029517552277,0.8604371446406658,0.8669511006581162,1.0
137.82545677900586,0.8620217735316767,0.868466574184031,1.0
149.51908013395374,0.8699082853587583,0.8698407384302068,1.0
162.19768729763553,0.8679800630913216,0.8711022426099164,1.0
175.94424597595506,0.864886458177288,0.8722811181851062,1.0
190.84871245692528,0.8706827340106659,0.8734073131738131,1.0
207.0086202768164,0.8667821983448492,0.8745094020705241,1.0
224.52971847115933,0.8656657945544027,0.8756135830901145,1.0
243.5266635872659,0.8732733127854624,0.876743031760567,1.0
264.12376998673113,0.8743809853150548,0.8779176279646324,1.0
286.4558233478374,0.8976236430860879,0.8791540219253405,1.0
310.6689626913442,0.8969465570039832,0.8804659630592143,1.0
336.92163670157004,0.8735452517020487,0.8818647915227491,1.0
365.385640600841,0.8865117911759998,0.8833599887965651,1.0
396.2472403625319,0.8823109719109796,0.8849596987930923,1.0
429.7083916194416,0.8870699319167146,0.8866711583730392,1.0
465.98806124394576,0.8991076169862636,0.8885010072842555,1.0
505.32366024821897,0.8944319877286294,0.8904554745173529,1.0
547.9725973813165,0.912046807447849,0.8925404559745959,1.0
594.2139635897032,0.9085548671102678,0.8947615060786971,1.0
644.3503583642121,0.9066850767390835,0.8971237655764497,1.0
698.7098699248681,0.9005465923780686,0.8996318428999435,1.0
757.6482222017564,0.9111806937261745,0.9022896604318055,1.0
821.5511026615733,0.912813194375045,0.9051002720775119,1.0
890.8366862129621,0.9390985867012324,0.9080656555261019,1.0
965.9583717068613,0.9190937193091913,0.9111864814057378,1.0
1047.407748939263,0.9138971735360812,0.9144618617677861,1.0
1135.71781557222,0.9455763253534368,0.9178890815296925,1.0
1231.46646502432,0.9450257609966952,0.9214633183940539,1.0
1335.2802681551163,0.9377664950621503,0.9251773591965152,1.0
1447.8385734904946,0.9231142344073502,0.9290213235383445,1.0
1569.8779528205268,0.92510170751174,0.9329824088429434,1.0
1702.197021261386,0.9104382073345677,0.9370446744922125,1.0
1845.661663323432,0.9258233825654248,0.9411888862068976,1.0
2001.2106991843493,0.9261061622236381,0.9453924449718695,1.0
2169.8620282470006,0.9249568764959534,0.9496294270737349,1.0
2352.719290184839,0.9376316470111634,0.9538707625807773,1.0
