AIC,NeSa_1,NeSa_1_sd,NeSa_2,NeSa_2_sd,model,pa_1,pa_1_sd,pa_2,pa_2_sd
-597.3753727806813,12965.749321033112,1480.9840428151524,-99.0,-99.0,s,1.921883727057372e-05,2.5113614793721976e-06,-99.0,-99.0
-732.0685322542535,42139.65337982068,5437.323738447062,422.26506328804726,67.96801283133513,2,3.6390058857360685e-06,5.905501171147472e-07,0.00039353230565597475,6.685572565628111e-05
-618.750268946798,6961.941221680136,796.5536302933677,-99.0,-99.0,e,7.450439070150194e-05,9.756219855279923e-06,-99.0,-99.0
