taxa,statistic,value,lower,upper
Mmc,sites,13.275462,13.275462,13.275462
Mmc,pi,0.4198146689140103,0.41541776488579574,0.42509440509001223
Mmc,tajima,-0.6877807384007943,-0.7008165729944638,-0.6749735719924381
Mmc,xsi,0.7764843178265114,0.7745272242873313,0.7787517882062934
Mmc,div,1.577044876291311,1.5664970719688847,1.5920623599842296
Mmd_fra,sites,13.716483999999998,13.716483999999998,13.716483999999998
Mmd_fra,pi,0.145614150584557,0.14196703561140128,0.1488820156819866
Mmd_fra,tajima,0.38933149701283337,0.3568832333048706,0.4325747103105704
Mmd_fra,xsi,0.7790016282130579,0.7752852814647172,0.7825215560611808
Mmd_fra,div,1.8506930007135942,1.8347446298033265,1.8653811281654848
Mmd_ger,sites,13.740242,13.740242,13.740242
Mmd_ger,pi,0.14508672166521278,0.14160317397214306,0.14933249173923094
Mmd_ger,tajima,0.4413706073132732,0.4018347644511164,0.48160503298559054
Mmd_ger,xsi,0.777346671089872,0.773647120748595,0.7813052166106957
Mmd_ger,div,1.853315229404256,1.8413243648972424,1.8694044704185584
Mmd_ira,sites,13.705142000000002,13.705142000000002,13.705142000000002
Mmd_ira,pi,0.21484186981304776,0.21151134411342867,0.21895466198141722
Mmd_ira,tajima,-0.32248203867994907,-0.35007907912660996,-0.29271322957028906
Mmd_ira,xsi,0.7901491496145578,0.7865098050848537,0.7934268971130917
Mmd_ira,div,1.7806380819038574,1.7690321927679615,1.796267488784209
Mmm_afg,sites,12.857074999999998,12.857074999999998,12.857074999999998
Mmm_afg,pi,0.14339611034815822,0.13950157343719824,0.14661035766900515
Mmm_afg,tajima,-0.37620287349416653,-0.41371328672237667,-0.33341497078697
Mmm_afg,xsi,0.8046951002234645,0.8000691266492829,0.8080301168851832
Mmm_afg,div,1.8352386425061693,1.8244345331295926,1.8485370441214521
Mmm_cze,sites,13.400973,13.400973,13.400973
Mmm_cze,pi,0.15113883894848532,0.14765410775742407,0.15505280345753236
Mmm_cze,tajima,0.4126557776183213,0.36606204212515303,0.4490467143533227
Mmm_cze,xsi,0.79581718808754,0.792543035919801,0.8000199419909532
Mmm_cze,div,1.8589471569340525,1.8479798943563024,1.878895759366083
Mmm_kaz,sites,13.634173,13.634173,13.634173
Mmm_kaz,pi,0.15138297472583537,0.14760467923993142,0.1548623640839048
Mmm_kaz,tajima,0.31158661594765785,0.25397593781678746,0.34702979038574655
Mmm_kaz,xsi,0.782335773477515,0.7786448603366564,0.7863293092686026
Mmm_kaz,div,1.8783977882706928,1.8661085733613556,1.894716521669449
Ms,sites,12.249984000000001,12.249984000000001,12.249984000000001
Ms,pi,0.23951949651526075,0.23592802966091764,0.24422700728003055
Ms,tajima,0.43765144719313037,0.40844048221425033,0.47415786340293736
Ms,xsi,0.7801296284313001,0.7769177271256582,0.7830565828816026
Ms,div,1.8547779779467466,1.8433153662870425,1.8674456993127027
