"","dist","sites","pi","pi_lower","pi_upper","theta_W","theta_W_lower","theta_W_upper","tajima","tajima_lower","tajima_upper","xsi","xsi_lower","xsi_upper","fwh","fwh_lower","fwh_upper","B","Bsmooth","map","lab"
"2",1e-20,158123,0.0061558845884249,0.00583748695472302,0.00651674068954982,0.00670885457565384,0.00646243104470607,0.00698816194374975,-0.28670208892019,-0.377391936342854,-0.199729905228153,0.751169377990431,0.738368426854812,0.765575953757226,0.00566673812571897,0.00527066036224235,0.00616829501702535,0.61558845884249,0.720531129994538,"Cox - Pedigree-based","Protein-Coding Exons"
"3",0.0842325581075729,1393665,0.00638977319894388,0.00626949697891549,0.0065025193276898,0.00696500088184954,0.00687669832869953,0.0070366289082692,-0.287481899277177,-0.325154142950565,-0.245151645444482,0.753976179300634,0.748957995773994,0.758867759562842,0.00615539016674358,0.0059500843035638,0.00635010684196351,0.638977319894388,0.724798341770914,"Cox - Pedigree-based","Protein-Coding Exons"
"4",0.175560240060492,2024493,0.00669167207063997,0.00656614863121024,0.006782082076693,0.0071872616683115,0.00710602489691359,0.00726194976570898,-0.237256512681936,-0.265113207959256,-0.210002247869703,0.760621104348464,0.75610063050754,0.766756198726864,0.00672078654069066,0.00649685356004614,0.00686755038880449,0.669167207063997,0.729296037493576,"Cox - Pedigree-based","Protein-Coding Exons"
"5",0.274580686290339,2724158,0.00713520362652105,0.00700668538529656,0.00723557227077537,0.00750028732951745,0.00742344833202533,0.00755780607843286,-0.16255011350148,-0.193080807365365,-0.133736769071758,0.752569519581007,0.748267841161092,0.757178815821096,0.00709340557743729,0.00695335955244641,0.00724006727557132,0.713520362652105,0.73402076460005,"Cox - Pedigree-based","Protein-Coding Exons"
"6",0.381941878011081,3699665,0.0071350548368734,0.00706897099617279,0.00721836667059126,0.00753173977613875,0.00748016326256432,0.00759362740280124,-0.177261222489296,-0.20270917690782,-0.151234745737578,0.754105053618442,0.750266699144475,0.758022773078844,0.00703399416996304,0.00689130209659865,0.0071148380770108,0.71350548368734,0.739051672885762,"Cox - Pedigree-based","Protein-Coding Exons"
"7",0.498346377551937,4124788,0.00745979652376643,0.00737315237720519,0.00754721159384405,0.0077879061025499,0.00771457707076214,0.00785511363698535,-0.138437066560584,-0.15481496737204,-0.117016936163898,0.751559632013397,0.748251293818145,0.755684499277056,0.00732150983720069,0.00718292030063617,0.00744748913416688,0.745979652376643,0.744421723464456,"Cox - Pedigree-based","Protein-Coding Exons"
"8",0.624555925864352,5080480,0.00750117954466137,0.00742469154763062,0.00758069974352319,0.00784030079260718,0.00779235216340367,0.00790444173276773,-0.142575008891813,-0.167251154028136,-0.121315641449125,0.755088937272837,0.75187984384524,0.759015485115855,0.00751765685646286,0.00739639566128549,0.00763169059913557,0.750117954466137,0.750014276203651,"Cox - Pedigree-based","Protein-Coding Exons"
"9",0.761396427288723,5493461,0.00766793666513845,0.00759519958914835,0.0077567458733882,0.00793946218343754,0.00788969753572482,0.00799644522421971,-0.109216589238828,-0.128393718775848,-0.0894876706035066,0.754759953425997,0.75221246444438,0.757208129581397,0.00770491539757868,0.00754936250673984,0.00780132652965413,0.766793666513845,0.755803004716861,"Cox - Pedigree-based","Protein-Coding Exons"
"10",0.909763354200792,5930046,0.00770679391845857,0.0076403488849414,0.00777460210899308,0.00796255876851592,0.00791660345162103,0.00801156200691878,-0.101558594826843,-0.116978338135434,-0.0802586308267375,0.75193266703856,0.748192576902675,0.755286259337264,0.00767281627653272,0.00756066628990586,0.00778313483863412,0.770679391845857,0.761863301060432,"Cox - Pedigree-based","Protein-Coding Exons"
"11",1.07062760690522,6947532,0.00782726086128462,0.00776323322183319,0.00789441087713166,0.00806752973513303,0.00801151677140585,0.00812192015009009,-0.092942094666462,-0.111390633669104,-0.0738243252880318,0.751182509795741,0.748411513901169,0.75443446298929,0.00774130392414081,0.00764764430219417,0.0078329139889152,0.782726086128462,0.768174727716866,"Cox - Pedigree-based","Protein-Coding Exons"
"12",1.24504186712301,6905757,0.00789856666558298,0.00783547648816454,0.00796126678035966,0.00814692563541893,0.00810513227840696,0.00819784429835124,-0.0955314112049102,-0.110983077483952,-0.0781175893096093,0.750681299815304,0.747023071119907,0.753860331543811,0.00778252317270228,0.00765079960040039,0.00788026053747913,0.789856666558298,0.774706042893491,"Cox - Pedigree-based","Protein-Coding Exons"
"13",1.43414748664939,7318550,0.00797569240812311,0.00789923900071495,0.00804776269325919,0.00818456032062386,0.00813574075263394,0.00823052079644938,-0.0772376414182361,-0.0967311544214064,-0.0600994740927847,0.75036343915945,0.7480283742155,0.753747881836955,0.0078915468227996,0.00778989375541776,0.00799758713951903,0.797569240812311,0.78141228981624,"Cox - Pedigree-based","Protein-Coding Exons"
"14",1.63918195626098,7810340,0.00806010242936457,0.0079947102221184,0.00812486957079151,0.00823219782171782,0.00818462689070494,0.00827208777322442,-0.0602357943063277,-0.0774597802996833,-0.0438578310382117,0.750153418198275,0.747880932467491,0.753046176309546,0.00803477295116839,0.00793954086896737,0.00812626576294828,0.806010242936457,0.788231178118784,"Cox - Pedigree-based","Protein-Coding Exons"
"15",1.86148700374819,8879306,0.00793454776206839,0.00787471061371718,0.00799988291105166,0.00817362025889836,0.00813023024835089,0.00822373643204552,-0.0909788387916012,-0.107373588671462,-0.0747735455028655,0.752336868262759,0.750022225412505,0.755503246696543,0.00793488976342456,0.00784700370116899,0.00804497515611628,0.793454776206839,0.795042782070369,"Cox - Pedigree-based","Protein-Coding Exons"
