dist,sites,pi,pi_lower,pi_upper,theta_W,theta_W_lower,theta_W_upper,tajima,tajima_lower,tajima_upper,xsi,xsi_lower,xsi_upper,fwh,fwh_lower,fwh_upper
84.45440299640231,16060490.0,0.008901123089479022,0.00885384087117574,0.0089490621172541,0.009011503807335931,0.008977960029946826,0.009041437551731786,-0.028342895221300714,-0.04003879092068374,-0.016051031408093764,0.7513225841151094,0.7495430249502547,0.7531569016243803,0.008868660308874864,0.008786665064853814,0.00895969229871678
91.65244596234467,16398053.0,0.008914281444988419,0.008864140326353489,0.008961229848574143,0.00901374082368143,0.008981933537901535,0.009043119086551593,-0.023867553759831173,-0.03472997445417544,-0.012827757484295379,0.7494432459586348,0.7477942171228287,0.7513808430649779,0.008841094259476899,0.008764141331101996,0.008916698893269778
99.4567985006767,16210894.0,0.008921222924761179,0.008866544652761215,0.008972938773528871,0.00903607035680468,0.009000170889986744,0.009069032529203382,-0.030041478306375657,-0.04490936552019774,-0.018588521764277468,0.7510095988576565,0.7495843214245735,0.7527821683449919,0.008928622937143381,0.008831978445178551,0.008998109463812586
107.91853161768563,16593391.0,0.008918804911115345,0.008868684854135655,0.008963258573904577,0.009023800480022302,0.008997224162537868,0.009050891127714837,-0.026082652929323383,-0.03904198422857852,-0.015164724255768303,0.7511648442534851,0.7492810107801066,0.7532564377904832,0.008934757561868196,0.00886761586206388,0.009017075728532786
117.09301816116393,16986806.0,0.008948500190953727,0.008907591886552846,0.008985419146249443,0.009036908765170834,0.008991781298470563,0.009058958073359803,-0.01925784810522159,-0.032343412870110985,-0.006638715321135951,0.7506266128571066,0.7488262968971625,0.75212236105409,0.008968947272779755,0.008897149377671195,0.009050404541886112
127.04029517552277,16814966.0,0.00883793474485158,0.008785925174301887,0.00887885455760465,0.009013875298746489,0.008980633414328927,0.00904493530584652,-0.05512849556702947,-0.0654414616622526,-0.04600818393709176,0.7534234841438849,0.7517893582819363,0.7553381656026257,0.008912287750698043,0.008837107865778177,0.00897941873069733
137.82545677900586,16744738.0,0.008849117122949432,0.00878735226666178,0.008895772786650796,0.009023017058273172,0.00898459092419272,0.009053141113130625,-0.054222378786227765,-0.06854304417998801,-0.042639809493519844,0.7523634341129014,0.7510684900858574,0.7543146464722688,0.008889385051797727,0.008811020489988546,0.00895251002534544
149.51908013395376,17386480.0,0.008836742722635342,0.00878147467602667,0.00888856248007134,0.009028519470014882,0.008987232745326614,0.009065130589944298,-0.061474376580689216,-0.07163952715520866,-0.04919270802338925,0.7548031541875142,0.7531926310451079,0.7564771290278058,0.008913791377564872,0.008837122833086008,0.008979761376789774
162.19768729763553,17445113.0,0.008891863718334114,0.00884588032845275,0.008935349354221144,0.00900685248149911,0.008975698272063185,0.009036273520072644,-0.030251211701937588,-0.042068042964100126,-0.017723888828938914,0.7506529612097792,0.7491180596918479,0.7525819981131202,0.008939030193541007,0.008868027339928164,0.009012160652911156
175.94424597595506,17267066.0,0.008881788898127853,0.00883205861370959,0.008924691181637193,0.00902552130498148,0.008986762476263182,0.009052966607542295,-0.0418876697316386,-0.055901388973783196,-0.029399521571103968,0.7507368847960154,0.7486602194395373,0.7521388846565107,0.008900642011863772,0.008832059258712157,0.008971329513048503
190.84871245692528,16733069.0,0.009037765973035374,0.008994633449697576,0.00907809786365631,0.009100908958800509,0.009075832476429117,0.009129189009081523,-0.008775867031925863,-0.02057024390972466,0.0022205945051806584,0.7474414258681332,0.7455916159719332,0.7489751990361738,0.008990138129033775,0.0089119508182391,0.009042704614810531
207.0086202768164,17097887.0,0.00894769058006873,0.008890502990099781,0.009012859351385313,0.009021878213431263,0.008991807260489298,0.009066552792429355,-0.01351027080249841,-0.02583157234283704,-0.0024788228279922614,0.7472848588318597,0.7454742150750094,0.7488223787828394,0.008813525487514502,0.008747218406866432,0.008898336848611665
224.5297184711593,17142443.0,0.00901850172911379,0.00897593942796585,0.009073971711275311,0.009116346566995476,0.009081812911135419,0.009147505235531903,-0.0227574657238663,-0.03507545198818123,-0.009937211621132263,0.7505925234373002,0.7486473491004325,0.7522242658322024,0.009045427522453232,0.008973626266363641,0.009140765919539356
243.52666358726592,16853170.0,0.008972653736686344,0.008913385059201808,0.00901987563443632,0.009090161832841327,0.009052264883980185,0.009122051274597252,-0.03084124505657204,-0.044581607074952095,-0.02025421909477035,0.749684994962411,0.7478352091556117,0.7516852985019313,0.008937286369900276,0.008863593034700289,0.009030706148786163
264.12376998673113,16734002.0,0.00898307120009735,0.008936140086396503,0.009042013727838902,0.009105065573975758,0.009073040354119166,0.009141386061372984,-0.03257867598780992,-0.04318825601560511,-0.01920971074193546,0.7507269887880181,0.74919638152965,0.7526080709205106,0.008989832845503816,0.008912585701590994,0.009085106397962036
286.4558233478374,16991965.0,0.00897952861357514,0.008929066122284328,0.009028285452453955,0.009092609887948652,0.009061144496783372,0.009126064949651186,-0.029034635744547427,-0.04009626054884266,-0.020263014388036342,0.7512668409115736,0.7495384146060436,0.752673249383157,0.009013636066895652,0.008932851512320088,0.009075675377175442
310.6689626913442,16428087.0,0.009010468324828108,0.008963199607720853,0.009062059458966442,0.009127979410402248,0.009098785698636305,0.009163355632522888,-0.030645123310013483,-0.03981157414342556,-0.014409633328718226,0.7507879920114199,0.7489285178962968,0.7525296327092994,0.0090243740267904,0.00894462830673219,0.009089586820925635
336.92163670157004,16970318.0,0.00899495056183222,0.0089488584447811,0.009046778601656907,0.009098128988389373,0.009071602729608422,0.009138820899474195,-0.024996552101630258,-0.03619041951387425,-0.010503224978853693,0.7471176720826008,0.7455092403357912,0.7490397086892371,0.00890271653202049,0.008853746534011324,0.008994061039484183
365.385640600841,17068443.0,0.008995306097208458,0.00895002993150373,0.009054312907894761,0.009114217232510463,0.009083384673459982,0.009148207455873998,-0.0312827170998748,-0.043173271871329334,-0.0183123239943329,0.7497668339784476,0.7480796256244585,0.7513239583968558,0.0090173455762539,0.008949041823110732,0.009089328726804485
396.2472403625319,16400504.0,0.009017148572049358,0.008968727897230782,0.009066702896152891,0.009133895496946905,0.0091022049425902,0.009164139408783576,-0.030306156102271047,-0.04149582527701793,-0.020016481688415053,0.7518417764649256,0.7501118658254822,0.7533973598411184,0.009075884248335744,0.009008808240853127,0.00915573375362943
