,taxa,stat,est,lower,median,upper,name
0,Mmd_ger,Sb_est,44.412761564700006,0.69386023441025,29.4762398169,49.92405816074501,Mmd_ger
1,Mmd_ger,pa_est,0.00175248984,0.0011588875470000001,0.0030013535950000002,0.034504221725749976,Mmd_ger
2,Mmd_ger,b,0.05982249493,0.0263042397805,0.04605908877500001,0.1109810868739999,Mmd_ger
3,Mmd_ger,S_d,-85.13392681,-16898.99552255,-401.196157995,-13.7514210926,Mmd_ger
4,Mmd_ger,alpha_dfe,0.10429400000000001,0.027885350000000003,0.1072555,0.20374729999999985,Mmd_ger
5,Mmd_ger,alpha_div,0.104335,0.029349875000000008,0.1073245,0.20371762499999985,Mmd_ger
0,Mmm_cze,Sb_est,1.04781463077,0.289550166221,1.13087932376,29.90793485092741,Mmm_cze
1,Mmm_cze,pa_est,0.05032197862,0.0023445702527500004,0.03036531117,0.18601060764775,Mmm_cze
2,Mmm_cze,b,0.02670117389,0.022587547227750002,0.027541926645,0.03974681120475,Mmm_cze
3,Mmm_cze,S_d,-34112.629213,-47024.008068575,-21534.31585,-3901.8265442850256,Mmm_cze
4,Mmm_cze,alpha_dfe,0.113254,0.01194815,0.08637,0.33328052499999994,Mmm_cze
5,Mmm_cze,alpha_div,0.113449,0.009174475,0.0870455,0.333034525,Mmm_cze
0,Mmd_fra,Sb_est,2.9961899942400003,1.020148257665,3.1422161767950003,41.787896583839995,Mmd_fra
1,Mmd_fra,pa_est,0.03751685367,0.0020956600842500003,0.034612980125000005,0.15937794249274986,Mmd_fra
2,Mmd_fra,b,0.035372470760000004,0.0294197777055,0.034712318525,0.04483880520024998,Mmd_fra
3,Mmd_fra,S_d,-14712.211975,-42962.228745425,-14745.1332495,-4821.992443975001,Mmd_fra
4,Mmd_fra,alpha_dfe,0.168696,0.08256695,0.1545945,0.3572255249999993,Mmd_fra
5,Mmd_fra,alpha_div,0.168944,0.0827346,0.1546905,0.3566839999999992,Mmd_fra
0,Mmd_ira,Sb_est,4.47310551308,3.500735148022,4.44068664493,45.04878626453493,Mmd_ira
1,Mmd_ira,pa_est,0.02101646514,0.002059570777,0.019967822969999997,0.02384410058375,Mmd_ira
2,Mmd_ira,b,0.033071538149999996,0.02896595425375,0.03320638655,0.0378268883445,Mmd_ira
3,Mmd_ira,S_d,-15310.397966,-15660.338891225,-15206.339549,-5473.826937185022,Mmd_ira
4,Mmd_ira,alpha_dfe,0.133445,0.08741542499999999,0.13048749999999998,0.17385204999999998,Mmd_ira
5,Mmd_ira,alpha_div,0.134285,0.08820975,0.13108699999999998,0.174474375,Mmd_ira
0,Mmm_kaz,Sb_est,2.668394725,0.9653101421075,2.740028855395,40.21967823992249,Mmm_kaz
1,Mmm_kaz,pa_est,0.0167485695,0.0011580605632499998,0.0166841162,0.03481893173724994,Mmm_kaz
2,Mmm_kaz,b,0.023816304,0.02076794868575,0.024006677990000003,0.0316498492635,Mmm_kaz
3,Mmm_kaz,S_d,-78731.93700800001,-83950.735010275,-78794.4740355,-39031.73791640045,Mmm_kaz
4,Mmm_kaz,alpha_dfe,0.068526,0.01620705,0.068859,0.12739984999999998,Mmm_kaz
5,Mmm_kaz,alpha_div,0.068861,0.014238225,0.06937650000000001,0.126163225,Mmm_kaz
0,Mmc,Sb_est,5.425931765880001,2.2165981567040003,5.54626529676,46.70310060666499,Mmc
1,Mmc,pa_est,0.02164798769,0.0024255013825,0.021179044190000003,0.0877842052757499,Mmc
2,Mmc,b,0.03506987773,0.032602724353500014,0.0356039034,0.06808862770374996,Mmc
3,Mmc,S_d,-15205.872797,-16220.450173725,-15122.3253465,-493.6346190962549,Mmc
4,Mmc,alpha_dfe,0.162227,0.13095245,0.1604495,0.29858649999999914,Mmc
5,Mmc,alpha_div,0.162723,0.13064330000000002,0.16061399999999998,0.2986705999999991,Mmc
0,Ms,Sb_est,3.6897090005199997,1.1371979408212498,3.80280618589,4.691181487861499,Ms
1,Ms,pa_est,0.022768296209999997,0.017086716663,0.022834163,0.10816105150625,Ms
2,Ms,b,0.03095840242,0.027170741608000003,0.031853644055000005,0.03687187960475,Ms
3,Ms,S_d,-15263.585409000001,-20060.23051865,-15140.1677315,-9297.723487315,Ms
4,Ms,alpha_dfe,0.120968,0.07238634999999999,0.126449,0.24209644999999985,Ms
5,Ms,alpha_div,0.120076,0.07158912499999999,0.1260915,0.2413105999999999,Ms
0,Mmm_afg,Sb_est,8.1603195204,6.076532721295751,15.679868015650001,49.46251491360499,Mmm_afg
1,Mmm_afg,pa_est,0.027903171889999998,0.0040195853375,0.014797226865,0.036886620191499984,Mmm_afg
2,Mmm_afg,b,0.04606766291,0.04078974587175,0.045308433575,0.10502781834049996,Mmm_afg
3,Mmm_afg,S_d,-78909.587368,-79209.9492385,-76989.84950499999,-203.92708961175072,Mmm_afg
4,Mmm_afg,alpha_dfe,0.310909,0.248383475,0.29860600000000004,0.3725688,Mmm_afg
5,Mmm_afg,alpha_div,0.311818,0.24847895000000006,0.298734,0.3726240750000001,Mmm_afg
